iteration,Mean reward,Metrics/success_rate,Episode_Reward/reaching_object,Episode_Reward/lifting_object,Episode_Reward/lift_progress
0,0.15683269500732422,0.0,0.010597246699035168,0.0,0.010313475504517555
1,0.2758313715457916,0.0,0.035781558603048325,0.0,0.010642866604030132
2,0.39662042260169983,0.0,0.060810625553131104,0.0,0.010642866604030132
3,0.5427332520484924,0.0,0.08788223564624786,0.0,0.010642866604030132
4,0.7151190638542175,0.0,0.12001208961009979,0.0,0.010642866604030132
5,0.8553434014320374,0.0,0.15020588040351868,0.0,0.010642866604030132
6,1.0249683856964111,0.0,0.1849977970123291,0.0,0.01064341701567173
7,1.2162446975708008,0.0,0.22407308220863342,0.0,0.010642869397997856
8,1.455015778541565,0.0,0.2600044906139374,0.0,0.010658575221896172
9,1.622623324394226,0.0,0.3052360415458679,0.0,0.010674916207790375
10,1.8131191730499268,0.0,0.3441952168941498,0.0,0.010914182290434837
11,1.9600286483764648,0.0,0.38190481066703796,0.0,0.011366434395313263
12,2.0858538150787354,0.0,0.3929184377193451,0.0,0.012038059532642365
13,2.3368592262268066,0.0,0.4470936954021454,0.0,0.014368097297847271
14,2.561246395111084,0.0,0.47457045316696167,0.0003124999930150807,0.018698325380682945
15,2.6765899658203125,0.0,0.5091959834098816,0.0016818183939903975,0.023435741662979126
16,2.956132173538208,0.0,0.5450212955474854,0.002385416766628623,0.028037119656801224
17,3.066633462905884,0.0,0.574687659740448,0.003719635307788849,0.03209442272782326
18,3.1491732597351074,0.0,0.5856871604919434,0.0017187499906867743,0.036803342401981354
19,3.2088091373443604,0.0,0.6062806844711304,0.003511905437335372,0.03796670585870743
20,3.3661868572235107,0.0,0.6287183165550232,0.0023427032865583897,0.04207442328333855
21,3.3955929279327393,0.0,0.6395365595817566,0.0019027777016162872,0.041284024715423584
22,3.4075918197631836,0.0,0.6487981677055359,0.0015277777565643191,0.04364164173603058
23,3.521932363510132,0.0,0.661391019821167,0.0015384615398943424,0.04271768778562546
24,3.584259510040283,0.0,0.6677476763725281,0.0,0.045521195977926254
25,3.566866636276245,0.0,0.6737343668937683,0.00011363636440364644,0.046077948063611984
26,3.564481496810913,0.0,0.6748668551445007,0.0007132352329790592,0.04581838846206665
27,3.5655746459960938,0.0,0.6637006998062134,0.000974658876657486,0.048027124255895615
28,3.7583892345428467,0.0,0.6955174803733826,0.0001190476177725941,0.05202644318342209
29,3.8256051540374756,0.0,0.6925031542778015,0.0012499999720603228,0.05115208029747009
30,3.801539659500122,0.0,0.7040746212005615,0.0013137254863977432,0.05466417595744133
31,3.7865662574768066,0.0,0.7126569151878357,0.0,0.058219846338033676
32,3.770644426345825,0.0,0.6978854537010193,0.0007142857066355646,0.05405168980360031
